date,nav
2024-10-24,98570.2975
2024-10-25,98360.7775
2024-10-28,99163.9375
2024-10-29,98779.8175
2024-10-30,99792.4975
2024-10-31,100805.1775
2024-11-01,100840.0975
2024-11-04,100036.9375
2024-11-05,100909.9375
2024-11-06,101433.7375
2024-11-07,102446.4175
2024-11-08,101119.4575
2024-11-11,100595.6575
2024-11-12,100421.0575
2024-11-13,99687.7375
2024-11-14,98744.8975
2024-11-15,97800.1718
2024-11-18,97800.1718
2024-11-19,97800.1718
2024-11-20,97800.1718
2024-11-21,97800.1718
2024-11-22,97800.1718
2024-11-25,97800.1718
2024-11-26,97800.1718
2024-11-27,97800.1718
2024-11-28,97800.1718
2024-11-29,97800.1718
2024-12-02,97800.1718
2024-12-03,97786.4032
2024-12-04,97334.5832
2024-12-05,97334.5832
2024-12-06,97358.3632
2024-12-09,96740.0832
2024-12-10,96787.6432
2024-12-11,96951.9630
2024-12-12,96951.9630
2024-12-13,96951.9630
2024-12-16,96951.9630
2024-12-17,96951.9630
2024-12-18,96951.9630
2024-12-19,96951.9630
2024-12-20,96951.9630
2024-12-23,96951.9630
2024-12-24,96951.9630
2024-12-25,96951.9630
2024-12-26,96951.9630
2024-12-27,96951.9630
2024-12-30,96951.9630
2024-12-31,96951.9630
2025-01-02,96951.9630
2025-01-03,96951.9630
2025-01-06,96951.9630
2025-01-07,96951.9630
2025-01-08,96951.9630
2025-01-09,96951.9630
2025-01-10,96951.9630
2025-01-13,96951.9630
2025-01-14,96951.9630
2025-01-15,96951.9630
2025-01-16,96951.9630
2025-01-17,96935.0571
2025-01-20,96647.2971
2025-01-21,97474.6071
2025-01-22,96755.2071
2025-01-23,96935.0571
2025-01-24,96503.4171
2025-01-27,96503.4171
2025-02-05,96503.4171
2025-02-06,96431.4771
2025-02-07,96971.0271
2025-02-10,97042.9671
2025-02-11,96539.3871
2025-02-12,97294.7571
2025-02-13,97870.2771
2025-02-14,97438.6371
2025-02-17,97258.7871
2025-02-18,96827.1471
2025-02-19,97078.9371
2025-02-20,96647.2971
2025-02-21,96398.6725
2025-02-24,96398.6725
2025-02-25,96398.6725
2025-02-26,96398.6725
2025-02-27,96398.6725
2025-02-28,96381.1761
2025-03-03,96894.6961
2025-03-04,97004.7361
2025-03-05,96197.7761
2025-03-06,96601.2561
2025-03-07,96601.2561
2025-03-10,96234.4561
2025-03-11,96161.0961
2025-03-12,96016.7236
2025-03-13,96016.7236
2025-03-14,96016.7236
2025-03-17,96016.7236
2025-03-18,95995.8964
2025-03-19,95909.4764
2025-03-20,95779.8464
2025-03-21,95390.9564
2025-03-24,94746.7817
2025-03-25,94746.7817
2025-03-26,94746.7817
2025-03-27,94746.7817
2025-03-28,94746.7817
2025-03-31,94746.7817
2025-04-01,94746.7817
